profile; file_name; recorded_at; total_records
hh; 2023-01-30 ch 2 a.txt; Fri Oct 27 2023 10:50:03 GMT-0300 (Horário Padrão de Brasília); 27
hh; 2023-01-30 ch 2 a_2.txt; Fri Oct 27 2023 10:50:03 GMT-0300 (Horário Padrão de Brasília); 479
hh; 2023-01-30 ch c10_hh.txt; Fri Oct 27 2023 10:50:03 GMT-0300 (Horário Padrão de Brasília); 9984
hh; 2023-02-01 dch_c10_hh.txt; Fri Oct 27 2023 10:50:03 GMT-0300 (Horário Padrão de Brasília); 36230
hh; 2023-02-07_ciclagem_c10_hh.txt; Fri Oct 27 2023 10:50:03 GMT-0300 (Horário Padrão de Brasília); 116823
hh; 2023-02-08_ciclagem_c10_hh.txt; Fri Oct 27 2023 10:50:03 GMT-0300 (Horário Padrão de Brasília); 166413
hh; 2023-01-30 ch 2 a.txt; Fri Oct 27 2023 10:53:02 GMT-0300 (Horário Padrão de Brasília); 27
hh; 2023-01-30 ch 2 a_2.txt; Fri Oct 27 2023 10:53:02 GMT-0300 (Horário Padrão de Brasília); 479
hh; 2023-01-30 ch c10_hh.txt; Fri Oct 27 2023 10:53:02 GMT-0300 (Horário Padrão de Brasília); 9984
hh; 2023-02-01 dch_c10_hh.txt; Fri Oct 27 2023 10:53:02 GMT-0300 (Horário Padrão de Brasília); 36230
hh; 2023-02-07_ciclagem_c10_hh.txt; Fri Oct 27 2023 10:53:02 GMT-0300 (Horário Padrão de Brasília); 116823
hh; 2023-02-08_ciclagem_c10_hh.txt; Fri Oct 27 2023 10:53:02 GMT-0300 (Horário Padrão de Brasília); 166413
arbin; z_tb04_s1_04_classe_b_channel_9_wb_1.xlsx; Fri Oct 27 2023 10:54:09 GMT-0300 (Horário Padrão de Brasília); 1
arbin; z_tb04_s1_05_classe_b_channel_25_wb_1.xlsx; Fri Oct 27 2023 10:54:09 GMT-0300 (Horário Padrão de Brasília); 1
arbin; z_tb04_s1_05_bat02_channel_25_wb_1.xlsx; Fri Oct 27 2023 10:54:09 GMT-0300 (Horário Padrão de Brasília); 833
arbin; z_tb04_s1_06_channel_1_wb_1.xlsx; Fri Oct 27 2023 10:54:10 GMT-0300 (Horário Padrão de Brasília); 894
arbin; z_tb04_s1_06_classe_b_channel_1_wb_1.xlsx; Fri Oct 27 2023 10:54:11 GMT-0300 (Horário Padrão de Brasília); 1
arbin; z_tb04_s1_07_classe_b+_channel_13_wb_1.xlsx; Fri Oct 27 2023 10:54:11 GMT-0300 (Horário Padrão de Brasília); 1
arbin; z_tb04_s1_02_bat02_channel_9_wb_1.xlsx; Fri Oct 27 2023 10:54:09 GMT-0300 (Horário Padrão de Brasília); 5050
arbin; z_tb04_s1_02_bat02_fan_fault_channel_9_wb_1.xlsx; Fri Oct 27 2023 10:54:09 GMT-0300 (Horário Padrão de Brasília); 5948
arbin; arbin_z_tb04_s2_28_bat02_channel_23_wb_1.xlsx; Fri Oct 27 2023 10:54:09 GMT-0300 (Horário Padrão de Brasília); 8370
arbin; z_tb04_s1_05_bat02_b_channel_25_wb_1.xlsx; Fri Oct 27 2023 10:54:09 GMT-0300 (Horário Padrão de Brasília); 7757
arbin; z_tb04_s1_04_bat02_channel_9_wb_1.xlsx; Fri Oct 27 2023 10:54:09 GMT-0300 (Horário Padrão de Brasília); 8700
arbin; z_tb04_s1_06_b_channel_1_wb_1.xlsx; Fri Oct 27 2023 10:54:10 GMT-0300 (Horário Padrão de Brasília); 7648
arbin; z_tb04_s1_08_classe_b+_channel_29_wb_1.xlsx; Fri Oct 27 2023 10:54:13 GMT-0300 (Horário Padrão de Brasília); 1
arbin; z_tb04_s1_09_classe_b-_channel_31_wb_1.xlsx; Fri Oct 27 2023 10:54:14 GMT-0300 (Horário Padrão de Brasília); 1
arbin; z_tb04_s1_09_channel_31_wb_1.xlsx; Fri Oct 27 2023 10:54:14 GMT-0300 (Horário Padrão de Brasília); 198
arbin; z_tb04_s1_07_bat02_channel_13_wb_1.xlsx; Fri Oct 27 2023 10:54:11 GMT-0300 (Horário Padrão de Brasília); 8747
arbin; z_tb04_s1_10_classe_b_channel_29_wb_1.xlsx; Fri Oct 27 2023 10:54:14 GMT-0300 (Horário Padrão de Brasília); 1
arbin; z_tb04_s1_11_classe_b_channel_11_wb_1.xlsx; Fri Oct 27 2023 10:54:14 GMT-0300 (Horário Padrão de Brasília); 1
arbin; z_tb04_s1_08_bat02_channel_29_wb_1.xlsx; Fri Oct 27 2023 10:54:11 GMT-0300 (Horário Padrão de Brasília); 8647
arbin; z_tb04_s1_10_bat02_channel_29_wb_1.xlsx; Fri Oct 27 2023 10:54:14 GMT-0300 (Horário Padrão de Brasília); 836
arbin; z_tb04_s1_15_bat02_channel_21_wb_1.xlsx; Fri Oct 27 2023 10:54:15 GMT-0300 (Horário Padrão de Brasília); 45
arbin; z_tb04_s1_09_b_channel_31_wb_1.xlsx; Fri Oct 27 2023 10:54:13 GMT-0300 (Horário Padrão de Brasília); 5802
arbin; z_tb04_s1_15_channel_29_wb_1.xlsx; Fri Oct 27 2023 10:54:15 GMT-0300 (Horário Padrão de Brasília); 193
arbin; z_tb04_s1_15_classe_b+_channel_21_wb_1.xlsx; Fri Oct 27 2023 10:54:15 GMT-0300 (Horário Padrão de Brasília); 1
arbin; z_tb04_s1_09_bat02_b_channel_31_wb_1.xlsx; Fri Oct 27 2023 10:54:13 GMT-0300 (Horário Padrão de Brasília); 7557
arbin; z_tb04_s1_16_bat02_channel_7_wb_1.xlsx; Fri Oct 27 2023 10:54:16 GMT-0300 (Horário Padrão de Brasília); 865
arbin; z_tb04_s1_10_bat02_b_channel_29_wb_1.xlsx; Fri Oct 27 2023 10:54:14 GMT-0300 (Horário Padrão de Brasília); 7871
arbin; z_tb04_s1_16_classe_b+_channel_7_wb_1.xlsx; Fri Oct 27 2023 10:54:16 GMT-0300 (Horário Padrão de Brasília); 1
arbin; z_tb04_s1_17_classe_a_channel_27_wb_1.xlsx; Fri Oct 27 2023 10:54:16 GMT-0300 (Horário Padrão de Brasília); 1
arbin; z_tb04_s1_15_bat02_b_channel_21_wb_1.xlsx; Fri Oct 27 2023 10:54:14 GMT-0300 (Horário Padrão de Brasília); 7468
arbin; z_tb04_s1_11_bat02_channel_11_wb_1.xlsx; Fri Oct 27 2023 10:54:14 GMT-0300 (Horário Padrão de Brasília); 8681
arbin; z_tb04_s1_14_bat02_channel_21_wb_1.xlsx; Fri Oct 27 2023 10:54:14 GMT-0300 (Horário Padrão de Brasília); 8771
arbin; z_tb04_s1_15_b_channel_21_wb_1.xlsx; Fri Oct 27 2023 10:54:15 GMT-0300 (Horário Padrão de Brasília); 5882
arbin; z_tb04_s1_20_classe_b_channel_19_wb_1.xlsx; Fri Oct 27 2023 10:54:17 GMT-0300 (Horário Padrão de Brasília); 1
arbin; z_tb04_s1_27_classe_a_channel_5_wb_1.xlsx; Fri Oct 27 2023 10:54:17 GMT-0300 (Horário Padrão de Brasília); 1
arbin; z_tb04_s1_27_bat02_channel_5_wb_1.xlsx; Fri Oct 27 2023 10:54:17 GMT-0300 (Horário Padrão de Brasília); 859
arbin; z_tb04_s1_28_status_d_channel_15_wb_1.xlsx; Fri Oct 27 2023 10:54:17 GMT-0300 (Horário Padrão de Brasília); 1
arbin; z_tb04_s1_16_bat02_b_channel_7_wb_1.xlsx; Fri Oct 27 2023 10:54:15 GMT-0300 (Horário Padrão de Brasília); 7735
arbin; z_tb04_s1_28_bat02_channel_15_wb_1.xlsx; Fri Oct 27 2023 10:54:17 GMT-0300 (Horário Padrão de Brasília); 2107
arbin; z_tb04_s1_30_bat02_channel_21_wb_1.xlsx; Fri Oct 27 2023 10:54:17 GMT-0300 (Horário Padrão de Brasília); 4483
arbin; z_tb04_s1_35_bat02_channel_23_wb_1.xlsx; Fri Oct 27 2023 10:54:17 GMT-0300 (Horário Padrão de Brasília); 4638
arbin; z_tb04_s1_17_bat02_channel_27_wb_1.xlsx; Fri Oct 27 2023 10:54:16 GMT-0300 (Horário Padrão de Brasília); 8462
arbin; z_tb04_s1_20_bat02_channel_19_wb_1.xlsx; Fri Oct 27 2023 10:54:17 GMT-0300 (Horário Padrão de Brasília); 8660
arbin; z_tb04_s1_27_b_channel_5_wb_1.xlsx; Fri Oct 27 2023 10:54:17 GMT-0300 (Horário Padrão de Brasília); 7631
arbin; z_tb04_s1_38_bat02_channel_17_wb_1.xlsx; Fri Oct 27 2023 10:54:19 GMT-0300 (Horário Padrão de Brasília); 44
arbin; z_tb04_s1_30_bat02_fan_fault_channel_21_wb_1.xlsx; Fri Oct 27 2023 10:54:17 GMT-0300 (Horário Padrão de Brasília); 7567
arbin; z_tb04_s1_38_channel_25_wb_1.xlsx; Fri Oct 27 2023 10:54:19 GMT-0300 (Horário Padrão de Brasília); 201
arbin; z_tb04_s1_38_classe_b+_channel_17_wb_1.xlsx; Fri Oct 27 2023 10:54:19 GMT-0300 (Horário Padrão de Brasília); 1
arbin; z_tb04_s1_39_channel_27_wb_1.xlsx; Fri Oct 27 2023 10:54:20 GMT-0300 (Horário Padrão de Brasília); 199
arbin; z_tb04_s1_39_classe_b_channel_27_wb_1.xlsx; Fri Oct 27 2023 10:54:20 GMT-0300 (Horário Padrão de Brasília); 1
arbin; z_tb04_s1_35_bat02_fan_fault_channel_23_wb_1.xlsx; Fri Oct 27 2023 10:54:18 GMT-0300 (Horário Padrão de Brasília); 7660
arbin; z_tb04_s1_42_classe_b+_channel_25_wb_1.xlsx; Fri Oct 27 2023 10:54:20 GMT-0300 (Horário Padrão de Brasília); 1
arbin; z_tb04_s1_37_bat02_channel_17_wb_1.xlsx; Fri Oct 27 2023 10:54:18 GMT-0300 (Horário Padrão de Brasília); 8633
